Designator,Footprint,Quantity,Value,LCSC Part #
U3,IC_BQ24072RGTT,1,BQ24072RGTT,C140288
C10,C_0805_2012Metric,1,4.7uF X5R,
C40,C_0402_1005Metric,1,1uF,
Y1,OSC_X322516MLB4SI,1,X322516MLB4SI,
R4,R_0402_1005Metric,1,4.7k,
C22,C_0402_1005Metric,1,4.7uF,
R25,R_0402_1005Metric,1,1k,
C38,C_0402_1005Metric,1,2.2uF,
R11,R_0402_1005Metric,1,1.5k,
U1,SL2.1S,1,SL2.1S,C2684433
R13,R_0402_1005Metric,1,1M,
U6,ALC5672-VB-CGT_QFN-48_EP_6x6_Pitch0.4mm,1,ALC5672,C474324
C29,C_0402_1005Metric,1,2.2uF,
C30,C_0402_1005Metric,1,0.1uF,
R12,R_0402_1005Metric,1,1.5k,
C3,C_0402_1005Metric,1,10uF,
C31,C_0402_1005Metric,1,4.7uF,
R9,R_0402_1005Metric,1,46.4k,
R7,R_0402_1005Metric,1,470,0402WGF4700TCE
R30,R_0402_1005Metric,1,0,
C33,C_0402_1005Metric,1,10uF,
R14,R_0402_1005Metric,1,180k,
C50,C_0402_1005Metric,1,0.1uF,
R1,R_0402_1005Metric,1,10k,
C9,C_0805_2012Metric,1,4.7uF X5R,
C8,C_1206_3216Metric,1,1uF X5R,
C41,C_0402_1005Metric,1,680pF,
R3,R_0402_1005Metric,1,4.7k,
C23,C_0402_1005Metric,1,4.7uF,
C24,C_0402_1005Metric,1,22pF,
C36,C_0402_1005Metric,1,2.2uF,
C21,C_0402_1005Metric,1,22pF,
SW1,SW_SPST_TL3342,1,SW_Push,C318884
C2,C_0402_1005Metric,1,33pF,
R16,R_0402_1005Metric,1,1M,
C49,C_0402_1005Metric,1,4.7uF,
C28,C_0402_1005Metric,1,4.7uF,
C12,C_0603_1608Metric,1,10uF X5R,
U4,IC_TPS63020DSJR,1,TPS63020DSJR,C15483
R15,R_0402_1005Metric,1,180k,
R20,R_0402_1005Metric,1,0,
J8,HRS_FH34SRJ-6S-0.5SH(50),1,FH34SRJ-6S-0.5SH(50),C224194
C42,C_0402_1005Metric,1,680pF,
C14,C_0402_1005Metric,1,22uF X5R,
C13,C_0402_1005Metric,1,100nF X5/7R,
R17,R_0402_1005Metric,1,1M,
C32,C_0402_1005Metric,1,0.1uF,
R21,R_0402_1005Metric,1,0,
R5,R_0402_1005Metric,1,470,0402WGF4700TCE
C7,C_0402_1005Metric,1,0.1uF,
C27,C_0402_1005Metric,1,22pF,
R19,R_0402_1005Metric,1,5.11k,
C6,C_0402_1005Metric,1,100nF,
D5,LED_0402_1005Metric,1,LED,
C16,C_0402_1005Metric,1,4.7pF,
C26,C_0402_1005Metric,1,10uF,
R24,R_0402_1005Metric,1,1k,
R8,R_0402_1005Metric,1,46.4k,
R23,R_0402_1005Metric,1,22,
C18,C_0402_1005Metric,1,22pF,
C1,C_0402_1005Metric,1,33pF,
J5,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Battery,
C5,C_0402_1005Metric,1,10uF,
J10,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,+,
R27,R_0402_1005Metric,1,10k,
TH1,PinHeader_1x02_P2.54mm_Vertical,1,Thermistor_NTC,
C37,C_0402_1005Metric,1,2.2uF,
C17,C_0402_1005Metric,1,22uF X5R,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KCUx,C1337280
C47,C_0402_1005Metric,1,4.7uF,
J7,HRS_FH34SRJ-6S-0.5SH(50),1,FH34SRJ-6S-0.5SH(50),C224194
C25,C_0402_1005Metric,1,4.7uF,
J9,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Conn_01x02_Female,
C4,C_0402_1005Metric,1,10uF,
U5,QFN-24_EP_4x4_Pitch0.5mm,1,AW9523BTQR,C148077
R26,R_0402_1005Metric,1,10k,
R2,R_0402_1005Metric,1,10k,
C20,C_0402_1005Metric,1,22pF,
R10,R_0603_1608Metric,1,910,
J6,SOFNG_MC-311D,1,USB_C_Receptacle_USB2.0,C136423
J2,PinSocket_1x02_P1.27mm_Vertical_SMD_Pin1Left,1,SWDIO,C2881511
J11,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,-,
R18,R_0402_1005Metric,1,5.11k,
C34,C_0402_1005Metric,1,0.1uF,
C39,C_0402_1005Metric,1,1uF,
C46,C_0402_1005Metric,1,0.1uF,
C44,C_0402_1005Metric,1,680pF,
R22,R_0402_1005Metric,1,22,
C11,C_0603_1608Metric,1,10uF X5R,
L1,MPIT4030,1,1.5uH,C281291
C48,C_0402_1005Metric,1,0.1uF,
D4,LED_0402_1005Metric,1,LED,
D2,LED_0402_1005Metric,1,LED,
R28,R_0402_1005Metric,1,1k,
R29,R_0402_1005Metric,1,1k,
C45,C_0402_1005Metric,1,2.2uF,
C19,C_0402_1005Metric,1,22pF,
C15,C_0402_1005Metric,1,22uF X5R,
D1,LED_0402_1005Metric,1,LED,
C35,C_0402_1005Metric,1,2.2uF,
C43,C_0402_1005Metric,1,680pF,
J4,MOLEX_67910-5700,1,Bus_PCI_Express_Mini,
D3,LED_0402_1005Metric,1,LED,
R6,R_0402_1005Metric,1,470,0402WGF4700TCE
J1,MOLEX_47219-2001,1,47219-2001,C164170
SW2,snap dome,1,1,
SW17,snap dome,1,Call/OK,
SW3,snap dome,1,4,
SW14,snap dome,1,End/Back,
SW4,snap dome,1,7,
SW12,snap dome,1,9,
LS2,speakerpads,1,Earphone,
SW8,snap dome,1,8,
SW6,snap dome,1,2,
SW16,snap dome,1,Down,
SW15,snap dome,1,Up,
SW11,snap dome,1,6,
J3,PinSocket_1x08_P1.27mm_Vertical,1,Display,
SW13,snap dome,1,#,
SW10,snap dome,1,3,
SW9,snap dome,1,0,
SW7,snap dome,1,5,
SW5,snap dome,1,*,
