Designator,Mid X,Mid Y,Rotation,Layer
U3,128.2875,-138.4,180.0,top
C10,132.3,-138.15,0.0,top
C40,127.5,-23.6,0.0,top
Y1,112.75,-141.75,90.0,top
R4,112.9,-67.1,0.0,top
C22,125.5,-41.4,0.0,top
R25,120.2,-33.3,180.0,top
C38,131.98,-31.22,180.0,top
R11,138.0425,-132.45,180.0,top
U1,112.345,-134.075,180.0,top
R13,131.255,-133.14,180.0,top
U6,125.37,-32.93,90.0,top
C29,130.8,-35.26,180.0,top
C30,130.78,-34.16,180.0,top
R12,140.7325,-132.45,180.0,top
C3,137.9,-102.37,-90.0,top
C31,120.17,-39.0,0.0,top
R9,128.95,-141.13,0.0,top
R7,133.2,-66.7,90.0,top
R30,123.5,-41.4,0.0,top
C33,118.124893,-31.345106,180.0,top
R14,129.65,-133.74,-90.0,top
C50,124.0,-39.2,180.0,top
R1,137.92,-100.2,-90.0,top
C9,125.15,-137.4,90.0,top
C8,123.85,-140.7,180.0,top
C41,133.9,-22.8,-90.0,top
R3,112.9,-66.0,0.0,top
C23,132.1,-37.5,0.0,top
C24,122.7,-27.4,180.0,top
C36,129.9,-30.1,0.0,top
C21,124.9,-27.4,180.0,top
SW1,121.49,-118.65,0.0,top
C2,110.0,-141.75,-90.0,top
R16,122.36,-135.64,90.0,top
C49,124.0,-40.3,0.0,top
C28,125.3,-38.1,180.0,top
C12,119.46,-130.14,90.0,top
U4,125.86,-131.44,180.0,top
R15,133.245,-134.34,0.0,top
R20,127.0,-40.3,0.0,top
J8,141.75,-147.5,90.0,top
C42,109.25,-29.7,0.0,top
C14,129.66,-130.14,-90.0,top
C13,128.06,-134.64,0.0,top
R17,131.8,-144.0,-90.0,top
C32,120.17,-37.9,0.0,top
R21,130.1,-37.1,180.0,top
R5,134.3,-66.7,-90.0,top
C7,116.47,-118.87,-90.0,top
C27,121.6,-26.3,180.0,top
R19,119.4,-147.0,-90.0,top
C6,115.7,-134.0,90.0,top
D5,140.7325,-133.75,180.0,top
C16,131.255,-134.34,0.0,top
C26,132.12,-36.37,0.0,top
R24,120.17,-34.4,180.0,top
R8,120.45,-139.5,180.0,top
R23,126.4,-25.2,90.0,top
C18,120.5,-27.4,180.0,top
C1,115.5,-141.75,90.0,top
J5,137.65,-137.4,90.0,top
C5,109.5,-137.02,90.0,top
R27,133.05,-50.0,180.0,top
TH1,136.575,-142.3,90.0,top
C37,130.9,-27.7,180.0,top
C17,131.31,-130.14,-90.0,top
U2,113.5,-123.5,-135.0,top
C47,131.98,-28.85,0.0,top
J7,110.75,-147.3875,-90.0,top
C25,126.1,-39.2,0.0,top
C4,110.75,-138.25,90.0,top
U5,126.0,-84.25,90.0,top
R26,135.1,-50.0,0.0,top
R2,118.25,-125.0,0.0,top
C20,123.8,-26.3,180.0,top
R10,131.34,-141.03,-90.0,top
J6,125.58,-146.67,0.0,top
J2,116.2,-147.3,-90.0,top
R18,131.8,-147.0,90.0,top
C34,118.124893,-32.445106,0.0,top
C39,129.7,-23.6,180.0,top
C46,120.15,-36.85,0.0,top
C44,109.25,-30.75,0.0,top
R22,130.8,-25.2,90.0,top
C11,121.4,-130.14,90.0,top
L1,125.86,-124.54,180.0,top
C48,131.98,-29.95,180.0,top
D4,138.0325,-133.75,180.0,top
D2,134.3,-64.7,-90.0,top
R28,133.4,-33.5,0.0,top
R29,133.4,-32.4,0.0,top
C45,120.1,-35.8,0.0,top
C19,119.4,-26.3,180.0,top
C15,132.91,-130.14,-90.0,top
D1,135.4,-64.7,-90.0,top
C35,128.2,-28.8,0.0,top
C43,117.55,-23.7,180.0,top
J4,123.9,-73.4,0.0,top
D3,133.2,-64.7,-90.0,top
R6,135.4,-66.7,-90.0,top
J1,125.5,-101.2,90.0,top
SW2,116.0,-84.3175,-90.0,bottom
SW17,136.5,-61.3175,-90.0,bottom
SW3,116.0,-93.8175,-90.0,bottom
SW14,116.75,-61.3675,-90.0,bottom
SW4,116.0,-103.3175,-90.0,bottom
SW12,135.5,-103.3175,-90.0,bottom
SW8,126.0,-103.3175,-90.0,bottom
SW6,126.0,-84.3175,-90.0,bottom
SW16,126.75,-65.5675,-90.0,bottom
SW15,126.75,-57.0675,-90.0,bottom
SW11,135.5,-93.8175,-90.0,bottom
SW13,135.5,-112.3175,-90.0,bottom
SW10,135.5,-84.3175,-90.0,bottom
SW9,126.0,-112.3175,-90.0,bottom
SW7,126.0,-93.8175,-90.0,bottom
SW5,116.0,-112.3175,-90.0,bottom
